Name	Symbol	Mass	2	4	12	15	16	17	18	19	20	21	22	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
Hydrogen	H2	2	1	5.99E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hellium	He	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carbon atom	C	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methane	CH4	16	0.157793858	0	0	1	1.143142087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-methane	13CH4	17	0.157793858	0	0	0	1	1.143142087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Water	H2O	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neon	Ne	20	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carbon monoxide	CO	28	0	0	0.178756048	0	0.10716404	0	0	0	0	0	0	0	0	0	0	1	0.011028589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-Carbon monoxide	13CO	29	0	0	0	0	0.10716404	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-Ethane	13-C2H6	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058348615	0.316304721	0.436412721	1	0.215795023	0.259716071	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-Carbon 18-monoxide	13C18O	31	0	0	0	0	0	0	0.10716404	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxygen	O2	32	0	0	0	0	1.140401655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.72E-03	0	1.06E-03	0	0	0	0	0	0	0	0	0	0
18-16-oxygen	18O16O	34	0	0	0	0	0.570200828	0	0.570200828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
18-oxygen	18O2	36	0	0	0	0	0	0	1.140401655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Argon	Ar	40	0	0	0	0	0	0	0	0	7.92E-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Carbon dioxide	CO2	44	0	0	0.126223077	0	0.296749273	0	0	0	0	0	8.66E-03	0	0	0	0		2.59E-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.15E-02	4.64E-03
13-Carbon dioxide	13CO2	45	0	0	0.296749273	0	8.66E-03	0	0	0	0	0	0.199581984	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.64E-03	0
Carbon 18-16-dioxide	C18OO	46	0	0	8.66E-03	0	0.199581984	0	0	0	0	0	2.59E-03	0	0	0	0		1.15E-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13-Carbon 18-16-dioxide	13C18OO	47	0	0	0.199581984	0	2.59E-03	0	0	0	0	0	1	0	0	0	0		4.64E-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Carbon 18-dioxide	C18O2	48	0	0	2.59E-03	0	1	0	0	0	0	0	1.15E-02	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13-Carbon 18-dioxide	13C18O2	49	0	0	1	0	1.15E-02	0	0	0	0	0	4.64E-03	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7.818839482
krypton	Kr	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
